company_name,services_provided,mbe_wbe_cert,small_local_cert,veteran_cert,sdo_certified,city_registered,address,city,state,zipcode,contact_name,contact_title,phone,fax,email,website,business_type,construction,date_established,number_employees,cob_category_codes1,cob_category_codes2,cob_category_codes3,naics_codes1,naics_codes2,naics_codes3,unspsc_code1,unspsc_code2,unspsc_code3
"9THAI EXPRESS , LLC",FULL SERVICES OF RESTAURANT,MBE,,,No,No,"433 Cambridge Street, Boston, MA 02134",Boston,MA,02134,Noppawan Srimahakosol,"NOPPAWAN SRIMAHAKOSOL , OWNER OF BUSINESS",(617) 202-5840,,9thaiexpress@gmail.com,www.9thaiexpress.com,Limited Liability Company,No,06/17/2021,Less than 10,,,,,,,,,
Turning On the Lights Global Institute,"Digital Coaching Service for Small Business Owners; Women Build Confidence Coaching; and Business Communication Mastery
",MWBE,,,No,No,"6 LIBERTY SQ, Boston, MA 02109",Boston,MA,02109,Allana DaGraca,"Allana Da Graca, Pres",(781) 957-8603,,management@drallanadagraca.com,drallanadagracaa.com,Limited Liability Company,No,07/24/2018,Less than 10,TA - Training (see also ED),BU - Business Management Consultants,MK - Marketing,611430 - Professional and Management Development Training ,541613 - Marketing Consulting Services ,,86130000 - Specialized educational services,86120000 - Educational institutions,
American Dream Home Care Agency LLC,"Personal care attended , educations",WBE,,,No,No,"33 Dover Street, Brockton, MA 2301",Brockton,MA,2301,Maria tavares,"Maria Tavares, CEO",(177) 422-3880,,tavaresdonations69@gmail.com,www.americandreamhca.com,Limited Liability Company,No,01/01/2021,11 - 20,"AHS - Health Care (Providers, Services)",,,621610 - Home Health Care Services,,,85100000 - Comprehensive health services,,
Enlightened Inc,"An Information Technology Consulting Firm Specializing in Management Consulting, Systems Integration, Cyber Security and Business Process Outsourcing",MBE,,,No,Yes,"1101 Connecticut Ave NW, Washington, , DC 20036","Washington, ",DC,20036,Arielle Kozub,"Antwanye Ford, President & CEO",(202) 728-7190,,contracts@enlightened.com,www.enlightened.com,Corporation,Yes,07/01/1997,Greater than 100,COM - Consultants: Management,COS - Consultants: Systems Analysis,,541511 - Custom Computer Programming Services ,541512 - Computer Systems Design Services ,541519 - Other Computer Related Services,81110000 - Computer services,43230000 - Software,81160000 - Information Technology Service Delivery
The Little Cocoa Bean Co.,Baby and Toddler Food; Baby and Toddler Accessories,MWBE,SLBE,,No,No,"112 South Street, Boston, MA 02111",Boston,MA,02111,Tracy Skelly,"Tracy Skelly, CEO & Founder",(617) 331-3226,,tskelly@littlecocoabeanco.com,www.littlecocoabeanco.com,Limited Liability Company,No,06/13/2019,Less than 10,"FD - Food Products, Services",AL - Apparel,,"424330 - Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers ",424490 - Other Grocery and Related Products Merchant Wholesalers ,,50190000 - Prepared and preserved foods,53100000 - Clothing,
starz & cloudz inc,"trucking company(tractor trailer/18 wheelers)

transportation
dispatch
motor carrier services
freight brokerage services
consulting",MBE,SBE,,No,No,"7 Fiske Street, Worcester, MA 01602",Worcester,MA,01602,nguidjoi pierre,nguidjoi pierre,(857) 880-0903,,contact@starzcloudzinc.com,www.starzcloudzinc.com,Corporation,No,10/25/2018,11 - 20,TK - Trucking (Waste Disposal Commodities Transport),,,"484121 - General Freight Trucking, Long-Distance, Truckload ","484110 - General Freight Trucking, Local ","484220 - Specialized Freight (except Used Goods) Trucking, Local ",25100000 - Motor vehicles,25190000 - Transportation services equipment,78140000 - Transport services
"212/Harakawa, Inc.","Graphic design services; designing ""way finding"" signage   ",MWBE,,,No,No,"236 W 27th Street, New York, NY 10001",New York,NY,10001,Ann Harakawa,,(212) 254-6670,(212) 254-6614,spariag@twotwelve.com,,Corporation,No,01/01/1990,21 - 40,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,,,541430 - Graphic Design Services,,,,,
"21st Century Management Services, Inc.",General personal home care assistance and transportation services,MWBE,SBE,,Yes,No,"402 Main Street, Randolph, MA 02368",Randolph,MA,02368,Judith Joseph,"Judith Joseph, President",(781) 828-0221,(781) 828-8555,judith.joseph@21stcenturyhomecare.com,,Corporation,No,01/01/2004,41 - 100,"AHS - Health Care (Providers, Services)",ES - Elderly Services,MO - Multi Service Organizations,621610 - Home Health Care Services,,,85100000 - Comprehensive health services,,
"3 South, LLC","First responder equipment, services, solutions   ",WBE,SBE,,No,Yes,"3175 Conway Drive, Baton Rouge, LA 70809",Baton Rouge,LA,70809,Charlotte Johnston,,(504) 858-1955,(504) 324-0969,charlotte@3southcompanies.com,,Limited Liability Company,No,01/01/2011,Less than 10,SA - Safety Products,TA - Training (see also ED),SU - Suppliers,423840 - Industrial Supplies Merchant Wholesalers,423990 - Other Miscellaneous Durable Goods Merchant Wholesalers ,"541990 - All Other Professional, Scientific, and Technical Services",,,
"617 Home Improvement, Inc.","General contracting services, full remodeling, kitchen cabinet supplies and installation, flooring supplies and installation, painting",WBE,SBE,,No,Yes,"275 Salem Street, Woburn, MA 01801",Woburn,MA,01801,Kristina Filozova,,(617) 659-1449,,617homeimprovement@gmail.com,www.617homeimprovement.com,Corporation,Yes,01/01/2017,Less than 10,CA - Carpentry,"FL - Floor Contractors (Carpet, Tile, Linoleum)",,236118 - Residential Remodelers ,236220 - Commercial and Institutional Building Construction ,236210 - Industrial Building Construction ,72110000 - Residential building construction services,,
