the_geom,OBJECTID,WARD,PARCEL,PID_LONG,WPD,BATCH,OBJECTID_1,PID,CM_ID,OWNER,ST_NUM,ST_NAME,ST_NAM_SUF,UNIT_NUM,ZIPCODE,FULL_ADDRE,LU,PTYPE,LOTSIZE,MAIL_ADDRE,MAIL_CS,MAIL_ZIP,OWN_OCC,GROSS_AREA,BLDG_AREA,AV_TOTAL,AV_LAND,AV_BLDG,GROSS_TAX,GROSS_TAX_,NUM_FLOORS
"MULTIPOLYGON (((-71.10587186734446 42.32055151016809, -71.10612784555367 42.32044284644604, -71.1061632684698 42.32048937291045, -71.10590732017283 42.320599103458406, -71.10587186734446 42.32055151016809)))",26,10,2525-20,1002525020,10-09-070,0,73399,1002525020,,CITY OF BOSTON,,FORBES,ST,,02130,FORBES ST,E,902,1522,26 COURT ST,BOSTON MA,02108,N,0,0,87100,87100,0,0,0,0
"MULTIPOLYGON (((-71.08321431462052 42.295712109378705, -71.0833710847657 42.295681675004204, -71.0834660516845 42.29601471122558, -71.08329323948654 42.29604891527066, -71.08321431462052 42.295712109378705)))",66,14,2033,1402033000,14-02-105,0,88364,1402033000,,CITY OF BOSTON,182,HARVARD,ST,,02124,182 HARVARD ST,E,902,5760,182 HARVARD,DORCHESTER MA,02124,N,0,0,77800,77800,0,0,0,0
"MULTIPOLYGON (((-71.10590732017283 42.320599103458406, -71.1061632684698 42.32048937291045, -71.10621760744642 42.32056067395126, -71.10596123503665 42.320671480962424, -71.10590732017283 42.320599103458406)))",90,10,2526,1002526000,10-09-070,0,73400,1002526000,,CITY OF BOSTON,68,FORBES,ST,,02130,68 FORBES ST,E,902,2160,68 FORBES ST,JAMAICA PLAIN MA,02130,N,0,0,16400,16400,0,0,0,0
"MULTIPOLYGON (((-71.14010923067936 42.25217716018768, -71.1401698555993 42.252109527994875, -71.14050929100597 42.25227792525031, -71.14047234922296 42.25232033257858, -71.14045112069672 42.25234455449749, -71.14010923067936 42.25217716018768)))",345,18,12269-28,1812269028,18-19-105,0,122899,1812269028,,CITY OF BOSTON,,VERNON,ST,,02136,VERNON ST,E,902,3000,VERNON ST,HYDE PARK MA,02136,N,0,0,11000,11000,0,0,0,0
"MULTIPOLYGON (((-71.13993657633826 42.25116997887996, -71.13999697309912 42.25110196705373, -71.1403276480651 42.25126626380606, -71.14026712035825 42.25133453698656, -71.13993657633826 42.25116997887996)))",353,18,12232,1812232000,18-19-131,0,122733,1812232000,,CITY OF BOSTON,,WESTON,ST,,02136,WESTON ST,E,902,3000,WESTON,HYDE PARK MA,02136,N,0,0,11000,11000,0,0,0,0
"MULTIPOLYGON (((-71.1051079036234 42.274077176987895, -71.1050619310907 42.27412271991449, -71.10481067259336 42.27399481309092, -71.10485721977017 42.2739489048341, -71.1051079036234 42.274077176987895)))",367,18,2575,1802575000,18-21-035,0,111029,1802575000,,CITY OF BOSTON BY FCL,,KENNEBEC,ST,,02126,KENNEBEC ST,E,902,1600,KENNEBEC,MATTAPAN MA,02126,N,0,0,6700,6700,0,0,0,0
"MULTIPOLYGON (((-71.09560595179502 42.27780548096267, -71.09586903317071 42.27762300099941, -71.09600011436316 42.277717677810486, -71.09575066362694 42.277909620745106, -71.09560595179502 42.27780548096267)))",375,18,3143,1803143000,18-03-095,0,111597,1803143000,,CITY OF BOSTON,56 56A,MATTAPAN,ST,,02126,56 56A MATTAPAN ST,E,902,5000,56 MATTAPAN  ST,MATTAPAN MA,02126,N,0,0,75700,75700,0,0,0,0
"MULTIPOLYGON (((-71.10538364006224 42.27333828194327, -71.10542833093766 42.27329427435614, -71.10547286560262 42.273250430599376, -71.10551411768108 42.27320981652483, -71.10556274517073 42.27316194180715, -71.10587001161663 42.2733222248798, -71.10569007117248 42.27350046990229, -71.10538364006224 42.27333828194327)))",413,18,2568,1802568000,18-21-035,0,111022,1802568000,,CITY OF BOSTON,,KENNEBEC,ST,,02126,KENNEBEC ST,E,902,8000,KENNEBEC,MATTAPAN MA,02126,N,0,0,91100,91100,0,0,0,0
"MULTIPOLYGON (((-71.10574028798864 42.27298713555044, -71.10560841368671 42.27311697403081, -71.10530527567288 42.27296210769834, -71.10543950698391 42.27283120459273, -71.10574028798864 42.27298713555044)))",565,18,2564,1802564000,18-21-035,0,111018,1802564000,,CITY OF BOSTON,,ALABAMA,ST,,02126,ALABAMA ST,E,902,6000,ALABAMA,MATTAPAN MA,02126,N,0,0,80300,80300,0,0,0,0
"MULTIPOLYGON (((-71.0794082626724 42.314407406433354, -71.0794945195146 42.31432079504204, -71.07968281366031 42.314421505272456, -71.07931385908985 42.31477429684978, -71.079132457629 42.314687398572566, -71.07926069058219 42.314547988278484, -71.07937355137432 42.31444047342712, -71.0794082626724 42.314407406433354)))",575,12,2882,1202882000,12-06-030,0,81281,1202882000,,CITY OF BOSTON,1 8,QUINCY,TE,,02121,1 8 QUINCY TE,E,902,10380,1 QUINCY TERR,DORCHESTER MA,02121,N,0,0,91300,91300,0,0,0,0
"MULTIPOLYGON (((-71.16053888004252 42.26265080343846, -71.16046815378701 42.26264232909951, -71.16049863134101 42.26250799524955, -71.16060999801624 42.262526833514116, -71.16066649531433 42.26258743740292, -71.16053888004252 42.26265080343846)))",639,20,11169,2011169000,20-15-110,0,145755,2011169000,,CITY OF BOSTON,,DANA,RD,,02132,DANA RD,E,902,1800,DANA RD,WEST ROXBURY MA,02132,N,0,0,9000,9000,0,0,0,0
