MainID,St_name,Dist,DistName,StartTime,EndTime,Side,from,to,miles,oneway,week1,week2,week3,week4,week5,sunday,monday,tuesday,wednesday,thursday,friday,saturday,everyday,yearround
1,Ackley Pl,2,Jamaica Plain,08:00,12:00,Even,Washington St,Dead End,0.0455,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False
2,Arcadia Park,3,North Dorchester,08:00,12:00,Even,Draper St,Ditson St,0.0835,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
3,Ashcroft St,2,Jamaica Plain,08:00,12:00,Odd,Perkins St,Moraine St,0.1015,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
4,Boylston St,1B,Back Bay,00:01,07:00,,Tremont St,Charles St,0.1519,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
5,Chestnut St,1H,Beacon Hill,08:00,12:00,Even,Walnut St,Charles St,0.2008,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
6,Blackwood St,1B,Back Bay,08:00,12:00,Even,St Botolph St,Dead End,0.0517,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
7,Bucknam St,10M,Mission Hill,12:00,16:00,Odd,Lawn St,Fisher Ave,0.0803,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
8,Acadia St,5,South Boston,09:00,13:00,Even,East First St,East Second St,0.0568,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
9,Acadia St,5,South Boston,09:00,13:00,Odd,East First St,East Second St,0.0568,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
10,Allston St,7,South Dorchester,12:00,16:00,Odd,Centre St,Melville Ave,0.1955,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
12,Abbotsford St,10R,Roxbury,08:00,12:00,Odd,Walnut Ave,Harold St,0.1210,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
13,Brooks St,9,East Boston,12:00,16:00,Even,Cheslea St,Princeton St,0.2093,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
15,Bullard St,3,North Dorchester,12:00,16:00,Odd,Bowdoin St,Bowdoin Ave,0.1991,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
16,Centre St,7,South Dorchester,08:00,12:00,Even,Talbot Ave,Dorchester Ave,0.5405,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
17,Appleton St,1S,South End,12:00,16:00,Odd,Tremont St,West Canton St,0.3938,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False
18,Boylston St,2,Jamaica Plain,08:00,12:00,Odd,Lamartine St,Washington St,0.3515,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
19,Ames St,7,South Dorchester,08:00,12:00,Odd,Westview St,Dead End,0.3042,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
20,Caryll St,7,South Dorchester,12:00,16:00,Odd,Morton St,Maryknoll St,0.1705,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
22,Braemore Rd,4,Allston/Brighton,12:00,16:00,Odd,Commonwealth Ave,Chiswick Rd,0.0943,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
23,Chatham St,1F,Downtown,00:01,07:00,,Merchants Row,Commercial St,0.1047,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
24,Bismarck St,2,Jamaica Plain,08:00,12:00,Even,Boylston St,Porter St,0.0379,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
25,Chestnut Ave,2,Jamaica Plain,12:00,16:00,Even,Centre St,Mozart St,0.2350,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
26,Central St,1F,Downtown,00:01,07:00,,India St,Dead End,0.0795,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
27,Bradeen St,2,Jamaica Plain,12:00,16:00,Odd,Washington St,Dead End,0.1848,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
28,Amory St,10R,Roxbury,08:00,12:00,Even,Dimock St,School St,0.1930,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
29,Chiswick Rd,4,Allston/Brighton,08:00,12:00,Even,Chestnut Hill Ave,Dead End,0.1438,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
30,Bunker Hill St,1C,Charlestown,08:00,12:00,Even,Moulton St,Medford St,0.9085,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False
31,Bluefield Ter,7,South Dorchester,12:00,16:00,Even,Gladeside Ave,Ridgeview Ave,0.1117,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
32,Ceylon St,3,North Dorchester,12:00,16:00,Even,Quincy St,Columbia Rd,0.1769,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
33,Chestnut St,1H,Beacon Hill,08:00,12:00,Even,Charles St,David G Mugar Way,0.1627,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
34,Bennett St,4,Allston/Brighton,12:00,16:00,Odd,Market St,South Hobbart St,0.3021,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
35,Brunswick St,3,North Dorchester,12:00,16:00,Odd,Blue Hill Ave,Normandy St,0.1273,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
36,Bremen St,9,East Boston,12:00,16:00,Even,Sumner St,Porter St,0.3470,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
37,Charles St,3,North Dorchester,08:00,12:00,Even,Dorchester Ave,Geneva Ave,0.2737,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
38,Charles St,3,North Dorchester,08:00,12:00,Odd,Dorchester Ave,Geneva Ave,0.2737,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
39,Abbotsford St,10R,Roxbury,08:00,12:00,Even,Walnut Ave,Harold St,0.1210,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
40,Anderson St,1H,Beacon Hill,08:00,12:00,Odd,Cambridge St,Myrtle St,0.1252,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False
41,Clearwater Dr,7,South Dorchester,12:00,16:00,Odd,Morton St,Maryknoll St,0.2354,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
42,Bluefield Ter,7,South Dorchester,12:00,16:00,Odd,Gladeside Ave,Ridgeview Ave,0.1117,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
43,Beaver St,1H,Beacon Hill,08:00,12:00,Odd,Beacon St,Beaver Pl,0.0373,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False
44,Arlington Ave,1C,Charlestown,08:00,12:00,Even,Alford St,Somerville Town Line,0.1898,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
45,Bedford St,1T,Chinatown,00:01,07:00,,Chauncy St,Summer St,0.1432,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
46,Charlame St,10R,Roxbury,12:00,16:00,Odd,Laurel St,Dead End,0.1182,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
47,Belvidere St,1B,Back Bay,12:00,16:00,Odd,Massachusetts Ave,Dalton St,0.1525,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True
48,Bennett St,4,Allston/Brighton,08:00,12:00,Odd,Market St,Oakland St,0.4112,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
49,Charles St,M,Multiple,02:00,07:00,Odd,Boylston St,Nashua St,1.0884,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True
50,Calumet St,10M,Mission Hill,12:00,16:00,Odd,Tremont St,Parker Hill Ave,0.5669,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
51,Atlantic Ave,1F,Downtown,00:01,07:00,,State St,Milk St,0.0604,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
52,Boylston St,1B,Back Bay,00:01,07:00,Odd,Arlington St,Hereford St,0.7949,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
53,Chelsea St,9,East Boston,08:00,12:00,Odd,Porter St,Prescott St,0.4913,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
54,Aspinwall Rd,7,South Dorchester,12:00,16:00,Odd,Washington St,Talbot Ave,0.1837,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
55,Carson St,3,North Dorchester,08:00,12:00,Even,Crescent Ave,Sydney St,0.1138,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
56,Blakeville St,3,North Dorchester,12:00,16:00,Odd,Bowdoin St,Olney St,0.1235,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
57,Cambria St,1B,Back Bay,00:01,07:00,,Boylston St,Dead End,0.1025,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
58,A St,5,South Boston,09:00,13:00,Even,Melcher St,Congress St,0.1030,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
59,Chelsea St,9,East Boston,12:00,16:00,Even,Maverick St,Porter St,0.2506,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
60,Alaska St,10R,Roxbury,08:00,12:00,Odd,Perrin St,Blue Hill Ave,0.1119,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
61,Blue Hill Ave,10R,Roxbury,00:01,07:00,,Dudley St,Blue Hill Ave,1.1797,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
62,Adams St,1C,Charlestown,08:00,12:00,Odd,Winthrop St,Lowney Way,0.1222,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
63,Charlesgate East,99,DCR,12:00,15:00,,Dead End,Back St,0.0203,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
64,Calumet St,10M,Mission Hill,12:00,16:00,Even,Tremont St,Parker Hill Ave,0.5669,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
65,Arborcrest Ter,7,South Dorchester,12:00,16:00,Even,Gladeside Ave,Ridgeview Ave,0.0922,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
66,Castle Rock St,3,North Dorchester,12:00,16:00,Even,Grampian Way,Caspian Way,0.0741,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
67,Armstrong St,2,Jamaica Plain,12:00,16:00,Odd,Chestnut Ave,Mozart St,0.1049,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
68,Chaucer St,9,East Boston,12:00,16:00,Odd,Curtis St,Moore St,0.1127,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
69,Bloomfield St,3,North Dorchester,12:00,16:00,Even,Geneva Ave,Greenbrier St,0.3032,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
70,Carlos St,7,South Dorchester,08:00,12:00,Even,Woodrow Ave,Callender St,0.0653,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
71,Adams St,7,South Dorchester,08:00,12:00,Odd,Dorchester Ave,Park St,0.1739,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
72,Brighton St,1C,Charlestown,08:00,12:00,Odd,Dead End,Caldwell St,0.0377,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
73,Columbus Ave,M,Multiple,05:00,07:00,Odd,Tremont St,Boylston St,0.1903,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
74,Berkeley St,1B,Back Bay,12:00,16:00,Even,Tremont St,Columbus Ave,0.2595,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
75,Chilcott Pl,2,Jamaica Plain,12:00,16:00,Odd,Washington St,Dead End,0.0953,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
76,Caspian Way,3,North Dorchester,12:00,16:00,Odd,Castle Rock St,Dead End,0.0595,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
77,Adams St,3,North Dorchester,08:00,12:00,Odd,Bowdoin St,Leedsville St,0.3045,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
78,Ashmont St,7,South Dorchester,08:00,12:00,Even,Dorchester Ave,Adams St,0.4924,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
79,Alpha Rd,7,South Dorchester,08:00,12:00,Odd,Waldeck St,Park St,0.1830,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
80,Cambridge St,1F,Downtown,00:01,07:00,Odd Side Median,Tremont St,Charles St,0.6089,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
81,Circuit St,10R,Roxbury,12:00,16:00,Odd,Walnut Ave,Washington St,0.3496,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
82,Brook Marshall Rd,10R,Roxbury,08:00,12:00,Odd,Raynor Cir,Sojourner Truth Ct,0.0938,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
